00073048-a	gle:lemma	cámasach
00073048-a	gle:lemma	giodalach
00073048-a	gle:lemma	galamaisíoch
00073048-a	gle:lemma	móiréiseach
00073048-a	gle:lemma	crochta
00073465-s	gle:lemma	mínádúrtha
00073465-s	gle:lemma	fite
00073465-s	gle:lemma	nósmhar
00073465-s	gle:lemma	tacair
00073465-s	gle:lemma	craptha
00073761-s	gle:lemma	doicheallach
00073761-s	gle:lemma	tarraingthe
00074094-s	gle:lemma	nósúil
00074346-a	gle:lemma	simplí
00074346-a	gle:lemma	nádúrtha
00074346-a	gle:lemma	dáiríre
00075135-a	gle:lemma	deimhniúil
00075135-a	gle:lemma	dearfach
00075737-s	gle:lemma	easaontach
00075737-s	gle:lemma	diúltach
00075737-s	gle:lemma	siosmach
00076921-a	gle:lemma	ar farraige
00076921-a	gle:lemma	ar an uisce
00076921-a	gle:lemma	ar uachtar
00076921-a	gle:lemma	ar snámh
00077059-s	gle:lemma	ag imeacht le sruth
00077196-s	gle:lemma	ar an uisce
00077196-s	gle:lemma	ar snámh
00077196-s	gle:lemma	snámhach
00077449-a	gle:lemma	i dtalamh
00078576-s	gle:lemma	scanraithe
00078851-s	gle:lemma	scaollmhar
00079485-s	gle:lemma	allasúil
00079485-s	gle:lemma	eaglach
00079485-s	gle:lemma	faiteach
00079485-s	gle:lemma	imeaglach
00079485-s	gle:lemma	scáfar
00079485-s	gle:lemma	critheaglach
00079485-s	gle:lemma	uamhnach
00079629-s	gle:lemma	scéiniúil
00079629-s	gle:lemma	scanraithe
00080357-s	gle:lemma	faoi scaoll
00080357-s	gle:lemma	scaollmhar
00080357-s	gle:lemma	sceimhlithe
00080357-s	gle:lemma	critheaglach
00080357-s	gle:lemma	scéiniúil
00080357-s	gle:lemma	gealtach
00080698-s	gle:lemma	faoi uamhan
00080698-s	gle:lemma	faoi uafás
00080698-s	gle:lemma	sceimhlithe
00080698-s	gle:lemma	sioctha
00081513-s	gle:lemma	seineafóbach
00081930-s	gle:lemma	neamhfhaiteach
00082241-a	gle:lemma	teanntásach
00082766-s	gle:lemma	straidhpeach
00082766-s	gle:lemma	cogaíoch
00082766-s	gle:lemma	cogúil
00083003-s	gle:lemma	iomaíoch
00083003-s	gle:lemma	coimhlinteach
00084353-s	gle:lemma	buailteach
00084353-s	gle:lemma	trodach
00084353-s	gle:lemma	cathach
00084353-s	gle:lemma	teagmhálach
00085264-a	gle:lemma	i do chíor thuathail
00085264-a	gle:lemma	fuaiscneach
00085264-a	gle:lemma	tógtha
00085264-a	gle:lemma	corraithe
00085630-s	gle:lemma	mothúchánach
00085630-s	gle:lemma	tochtmhar
00085630-s	gle:lemma	eadarluasach
00085630-s	gle:lemma	fuaiscneach
00085630-s	gle:lemma	scleondrach
00085630-s	gle:lemma	maoithneach
00085630-s	gle:lemma	ardaithe
00085630-s	gle:lemma	sceidealach
00085630-s	gle:lemma	sochorraithe
00085630-s	gle:lemma	uaibhreach
00085630-s	gle:lemma	tógtha
00085630-s	gle:lemma	corraithe
00085630-s	gle:lemma	mearaithe
00085870-s	gle:lemma	i mbarr do chéille
00085870-s	gle:lemma	sáraithe
00085870-s	gle:lemma	traochta
00085870-s	gle:lemma	cloíte
00085870-s	gle:lemma	cráite
00086005-s	gle:lemma	suaite
00086210-s	gle:lemma	corrach
00086210-s	gle:lemma	fuadrach
00086341-s	gle:lemma	ar buile
00086341-s	gle:lemma	i mbarr do chéille
00086341-s	gle:lemma	ar mire
00086341-s	gle:lemma	mear
00086341-s	gle:lemma	le buile
00086341-s	gle:lemma	le báiní
00086341-s	gle:lemma	splanctha
00086341-s	gle:lemma	fiánta
00086606-s	gle:lemma	histéireach
00086606-s	gle:lemma	rachtúil
00086606-s	gle:lemma	taomach
00086606-s	gle:lemma	spadhrúil
00087022-s	gle:lemma	scéansúileach
00087354-a	gle:lemma	suaite
00087597-s	gle:lemma	guairdeallach
00088545-s	gle:lemma	rúiscthe
00088545-s	gle:lemma	measctha
00088545-s	gle:lemma	suaite
00089051-a	gle:lemma	maith
00089051-a	gle:lemma	compordach
00089051-a	gle:lemma	oiriúnach
00089051-a	gle:lemma	fáilí
00089051-a	gle:lemma	soraidh
00089051-a	gle:lemma	suáilceach
00089051-a	gle:lemma	pléisiúrtha
00089051-a	gle:lemma	saoithiúil
00089051-a	gle:lemma	cineálta
00089051-a	gle:lemma	córtasach
00089051-a	gle:lemma	suairc
00089051-a	gle:lemma	so-ranna
00089051-a	gle:lemma	caoithiúil
00089355-a	gle:lemma	cnádánach
00089355-a	gle:lemma	doicheallach
00089355-a	gle:lemma	drabhlásach
00089355-a	gle:lemma	clamprach
00089355-a	gle:lemma	cancrach
00089550-s	gle:lemma	athmhalta
00089550-s	gle:lemma	ciapánta
00089550-s	gle:lemma	bambairneach
00089550-s	gle:lemma	bearránach
00089550-s	gle:lemma	ciapach
00089550-s	gle:lemma	mí-ámharach
00089550-s	gle:lemma	dóiteach
00089550-s	gle:lemma	forránach
00089550-s	gle:lemma	sáiteach
00089550-s	gle:lemma	cráite
00090219-s	gle:lemma	chomh frithir le driseog
00090219-s	gle:lemma	borb
00090219-s	gle:lemma	gairgeach
00090219-s	gle:lemma	tútach
00090408-s	gle:lemma	corraitheach
00091311-a	gle:lemma	faireach
00091311-a	gle:lemma	feighlíoch
00091311-a	gle:lemma	foraireach
00091311-a	gle:lemma	ar d'airdeall
00091311-a	gle:lemma	airdeallach
00091311-a	gle:lemma	coimhéadach
00091311-a	gle:lemma	fuireachair
00091311-a	gle:lemma	ar do mhine ghéire
00091311-a	gle:lemma	feifeach
00091311-a	gle:lemma	aireach
00091311-a	gle:lemma	ar do phionsa
00091311-a	gle:lemma	faichilleach
00091311-a	gle:lemma	braiteach
00091764-s	gle:lemma	faireach
00091764-s	gle:lemma	feighlíoch
00091764-s	gle:lemma	foraireach
00091764-s	gle:lemma	coimhéadach
00091764-s	gle:lemma	airdeallach
00091764-s	gle:lemma	aireach
00091764-s	gle:lemma	fuireachair
00092691-a	gle:lemma	algartamach
00092848-s	gle:lemma	athchúrsach
00092933-a	gle:lemma	iúraisticiúil
00093556-s	gle:lemma	intráchta
00093556-s	gle:lemma	inainmnithe
00093556-s	gle:lemma	inaistrithe
00093810-a	gle:lemma	doshannta
00093810-a	gle:lemma	do-aistrithe
00094239-s	gle:lemma	doshannta
00094324-s	gle:lemma	doshannta
00094324-s	gle:lemma	do-aistrithe
00094448-a	gle:lemma	beo beathach
00094448-a	gle:lemma	i do bheatha
00094448-a	gle:lemma	ann
00094448-a	gle:lemma	ar marthain
00094448-a	gle:lemma	beo
00094448-a	gle:lemma	cruthaithe
00094941-s	gle:lemma	inmharthana
00095280-a	gle:lemma	chomh marbh le caoireoil
00095280-a	gle:lemma	faoi chlár
00095280-a	gle:lemma	chomh marbh le Crom
00095280-a	gle:lemma	chomh marbh le dódó
00095280-a	gle:lemma	chomh marbh le hart
00095280-a	gle:lemma	chomh marbh le mata tairsí
00095280-a	gle:lemma	chomh marbh le scadán
00095280-a	gle:lemma	fuar
00095280-a	gle:lemma	marbh
00095280-a	gle:lemma	tirim
00095280-a	gle:lemma	ar shlí na fírinne
00095280-a	gle:lemma	éagtha
00095280-a	gle:lemma	neamhbheo
